"SUID","interaction","name","selected","shared interaction","shared name"
"1007","1","NFKB1 (1) IL6","false","1","NFKB1 (1) IL6"
"1008","1","NFKB1 (1) TNF","false","1","NFKB1 (1) TNF"
"1009","1","NFKB1 (1) BCL2","false","1","NFKB1 (1) BCL2"
"1010","1","NFKB1 (1) MAP2K1","false","1","NFKB1 (1) MAP2K1"
"1011","-1","NFKB1 (-1) Glycolysis","false","-1","NFKB1 (-1) Glycolysis"
"1012","-1","PPARGC1A (-1) AKT1","false","-1","PPARGC1A (-1) AKT1"
"1013","1","PPARGC1A (1) SLC2A4","false","1","PPARGC1A (1) SLC2A4"
"1014","1","IGF1 (1) IGF1R","false","1","IGF1 (1) IGF1R"
"1015","1","IRS1 (1) PIK3CA","false","1","IRS1 (1) PIK3CA"
"1016","1","PIK3CA (1) PDK1","false","1","PIK3CA (1) PDK1"
"1017","1","PIK3CA (1) PAK2","false","1","PIK3CA (1) PAK2"
"1018","1","PDK1 (1) SGK1","false","1","PDK1 (1) SGK1"
"1019","1","PDK1 (1) AKT1","false","1","PDK1 (1) AKT1"
"1020","1","PDK1 (1) IKBKB","false","1","PDK1 (1) IKBKB"
"1021","1","lowNutrition (1) AMPK","false","1","lowNutrition (1) AMPK"
"1023","-1","lowNutrition (-1) INSR","false","-1","lowNutrition (-1) INSR"
"1024","1","lowNutrition (1) AMP/ATP","false","1","lowNutrition (1) AMP/ATP"
"1025","1","lowNutrition (1) ADP/ATP","false","1","lowNutrition (1) ADP/ATP"
"1028","1","MAPK14 (1) TP53","false","1","MAPK14 (1) TP53"
"1029","1","MAPK14 (1) CDKN2A","false","1","MAPK14 (1) CDKN2A"
"1030","1","MAPK14 (1) TP53_s46","false","1","MAPK14 (1) TP53_s46"
"1031","1","MAPK14 (1) FOXO3","false","1","MAPK14 (1) FOXO3"
"1032","-1","SGK1 (-1) FOXO3","false","-1","SGK1 (-1) FOXO3"
"1033","1","ATM/ATR_2 (1) ABL1","false","1","ATM/ATR_2 (1) ABL1"
"1034","1","ATM/ATR_2 (1) HIPK2","false","1","ATM/ATR_2 (1) HIPK2"
"1035","1","ABL1 (1) CASP9","false","1","ABL1 (1) CASP9"
"1036","-1","ABL1 (-1) MDM2","false","-1","ABL1 (-1) MDM2"
"1037","-1","ABL1 (-1) MTOR","false","-1","ABL1 (-1) MTOR"
"1038","1","HIPK2 (1) TP53_s46","false","1","HIPK2 (1) TP53_s46"
"1039","1","DNAdamage_high (1) ATM/ATR_2","false","1","DNAdamage_high (1) ATM/ATR_2"
"1040","1","CASP3 (1) PAK2","false","1","CASP3 (1) PAK2"
"1041","1","MAP2K1 (1) MAPK1","false","1","MAP2K1 (1) MAPK1"
"1044","1","MAPK1 (1) RPS6KB1","false","1","MAPK1 (1) RPS6KB1"
"1045","-1","MAPK1 (-1) CASP9","false","-1","MAPK1 (-1) CASP9"
"1046","-1","MAPK1 (-1) EIF4EBP1","false","-1","MAPK1 (-1) EIF4EBP1"
"1047","-1","MAPK1 (-1) TSC2","false","-1","MAPK1 (-1) TSC2"
"1048","-1","MAPK1 (-1) FOXO3","false","-1","MAPK1 (-1) FOXO3"
"1049","-1","MAPK1 (-1) BCL2L11","false","-1","MAPK1 (-1) BCL2L11"
"1050","1","Glycolysis (1) TCA cycle","false","1","Glycolysis (1) TCA cycle"
"1051","1","Glycolysis (1) ATP","false","1","Glycolysis (1) ATP"
"1052","1","INSR (1) KRAS","false","1","INSR (1) KRAS"
"1053","1","INSR (1) IRS1","false","1","INSR (1) IRS1"
"1054","1","KRAS (1) PIK3CA","false","1","KRAS (1) PIK3CA"
"1055","1","KRAS (1) MAPK1","false","1","KRAS (1) MAPK1"
"1059","1","RPS6KB1 (1) HIF1A","false","1","RPS6KB1 (1) HIF1A"
"1060","1","PRKCA (1) MTOR","false","1","PRKCA (1) MTOR"
"1065","1","PAK2 (1) LIM1/LIM2","false","1","PAK2 (1) LIM1/LIM2"
"1066","-1","PAK2 (-1) ABL1","false","-1","PAK2 (-1) ABL1"
"1071","-1","HDAC1 (-1) SIRT1","false","-1","HDAC1 (-1) SIRT1"
"1072","1","AMP/ATP (1) AMPK","false","1","AMP/ATP (1) AMPK"
"1073","1","ADP/ATP (1) AMPK","false","1","ADP/ATP (1) AMPK"
"1074","1","BCL2L11 (1) BAX","false","1","BCL2L11 (1) BAX"
"1075","1","TCA cycle (1) ROS","false","1","TCA cycle (1) ROS"
"1076","1","TCA cycle (1) ATP","false","1","TCA cycle (1) ATP"
"1077","-1","ATP (-1) ADP/ATP","false","-1","ATP (-1) ADP/ATP"
"1078","-1","ATP (-1) AMP/ATP","false","-1","ATP (-1) AMP/ATP"
"1079","1","Glucose (1) Glycolysis","false","1","Glucose (1) Glycolysis"
"1080","1","G6PC (1) Glycolysis","false","1","G6PC (1) Glycolysis"
"1081","1","SLC2A4 (1) Glucose","false","1","SLC2A4 (1) Glucose"
"1082","-1","BMI1 (-1) CDKN2A","false","-1","BMI1 (-1) CDKN2A"
"903","-1","AKT1 (-1) CASP9","false","-1","AKT1 (-1) CASP9"
"904","1","AKT1 (1) MTOR","false","1","AKT1 (1) MTOR"
"905","1","AKT1 (1) BCL2","false","1","AKT1 (1) BCL2"
"906","-1","AKT1 (-1) TSC2","false","-1","AKT1 (-1) TSC2"
"907","-1","AKT1 (-1) FOXO3","false","-1","AKT1 (-1) FOXO3"
"908","-1","AKT1 (-1) CDKN1A","false","-1","AKT1 (-1) CDKN1A"
"909","1","AKT1 (1) MDM2","false","1","AKT1 (1) MDM2"
"910","1","AKT1 (1) IKBKB","false","1","AKT1 (1) IKBKB"
"911","1","AKT1 (1) SLC2A4","false","1","AKT1 (1) SLC2A4"
"912","-1","AKT1 (-1) PTEN","false","-1","AKT1 (-1) PTEN"
"914","1","AKT1 (1) BMI1","false","1","AKT1 (1) BMI1"
"915","-1","AKT1 (-1) BCL2L11","false","-1","AKT1 (-1) BCL2L11"
"916","-1","AKT1 (-1) BAX","false","-1","AKT1 (-1) BAX"
"917","1","CASP9 (1) CASP3","false","1","CASP9 (1) CASP3"
"918","-1","MTOR (-1) ULK1","false","-1","MTOR (-1) ULK1"
"919","-1","MTOR (-1) EIF4EBP1","false","-1","MTOR (-1) EIF4EBP1"
"920","1","MTOR (1) S6K1","false","1","MTOR (1) S6K1"
"921","1","MTOR (1) RPS6KB1","false","1","MTOR (1) RPS6KB1"
"922","1","MTOR (1) PPARGC1A","false","1","MTOR (1) PPARGC1A"
"924","-1","BCL2 (-1) BAX","false","-1","BCL2 (-1) BAX"
"925","-1","TSC2 (-1) RHEB","false","-1","TSC2 (-1) RHEB"
"926","1","FOXO3 (1) SIRT1","false","1","FOXO3 (1) SIRT1"
"927","1","FOXO3 (1) ATM/ATR","false","1","FOXO3 (1) ATM/ATR"
"928","1","FOXO3 (1) CDKN1A","false","1","FOXO3 (1) CDKN1A"
"929","1","FOXO3 (1) SOD2","false","1","FOXO3 (1) SOD2"
"931","1","FOXO3 (1) G6PC","false","1","FOXO3 (1) G6PC"
"932","1","FOXO3 (1) BCL2L11","false","1","FOXO3 (1) BCL2L11"
"934","-1","CDKN1A (-1) CDK4","false","-1","CDKN1A (-1) CDK4"
"935","-1","MDM2 (-1) RB1","false","-1","MDM2 (-1) RB1"
"936","-1","MDM2 (-1) TP53","false","-1","MDM2 (-1) TP53"
"937","-1","MDM2 (-1) TP53_s46","false","-1","MDM2 (-1) TP53_s46"
"938","-1","MDM2 (-1) FOXO3","false","-1","MDM2 (-1) FOXO3"
"939","-1","IKBKB (-1) PTEN","false","-1","IKBKB (-1) PTEN"
"940","-1","IKBKB (-1) NFKBIE","false","-1","IKBKB (-1) NFKBIE"
"941","-1","IKBKB (-1) IRS1","false","-1","IKBKB (-1) IRS1"
"943","-1","CDK4 (-1) RB1","false","-1","CDK4 (-1) RB1"
"945","-1","RB1 (-1) ABL1","false","-1","RB1 (-1) ABL1"
"946","-1","RB1 (-1) E2F1","false","-1","RB1 (-1) E2F1"
"947","1","TP53 (1) PTEN","false","1","TP53 (1) PTEN"
"948","1","TP53 (1) MDM2","false","1","TP53 (1) MDM2"
"949","1","TP53 (1) CDKN1A","false","1","TP53 (1) CDKN1A"
"950","-1","TP53 (-1) IGF1R","false","-1","TP53 (-1) IGF1R"
"951","1","TP53 (1) HDAC1","false","1","TP53 (1) HDAC1"
"952","-1","TP53 (-1) IGF1","false","-1","TP53 (-1) IGF1"
"953","-1","TP53 (-1) BCL2","false","-1","TP53 (-1) BCL2"
"954","1","TP53 (1) SGK1","false","1","TP53 (1) SGK1"
"955","1","TP53 (1) BAX","false","1","TP53 (1) BAX"
"956","1","TP53 (1) AMPK","false","1","TP53 (1) AMPK"
"957","-1","TP53_s46 (-1) IGF1R","false","-1","TP53_s46 (-1) IGF1R"
"958","1","TP53_s46 (1) PTEN","false","1","TP53_s46 (1) PTEN"
"959","1","TP53_s46 (1) MDM2","false","1","TP53_s46 (1) MDM2"
"960","1","TP53_s46 (1) BAX","false","1","TP53_s46 (1) BAX"
"961","-1","PTEN (-1) PDK1","false","-1","PTEN (-1) PDK1"
"962","-1","NFKBIE (-1) NFKB1","false","-1","NFKBIE (-1) NFKB1"
"963","-1","NFKBIE (-1) IKBKB","false","-1","NFKBIE (-1) IKBKB"
"964","1","ULK1 (1) ATG5;ULK1","false","1","ULK1 (1) ATG5;ULK1"
"965","1","ULK1 (1) ATG13;ULK1","false","1","ULK1 (1) ATG13;ULK1"
"966","-1","S6K1 (-1) MDM2","false","-1","S6K1 (-1) MDM2"
"967","-1","S6K1 (-1) IRS1","false","-1","S6K1 (-1) IRS1"
"968","1","BAX (1) CASP9","false","1","BAX (1) CASP9"
"969","1","BAX (1) CASP3","false","1","BAX (1) CASP3"
"970","1","RHEB (1) MTOR","false","1","RHEB (1) MTOR"
"971","-1","SIRT1 (-1) BAX","false","-1","SIRT1 (-1) BAX"
"972","-1","SIRT1 (-1) NFKB1","false","-1","SIRT1 (-1) NFKB1"
"973","1","SIRT1 (1) PPARGC1A","false","1","SIRT1 (1) PPARGC1A"
"974","1","SIRT1 (1) FOXO3","false","1","SIRT1 (1) FOXO3"
"975","-1","SIRT1 (-1) TP53_s46","false","-1","SIRT1 (-1) TP53_s46"
"976","1","SIRT1 (1) TSC2","false","1","SIRT1 (1) TSC2"
"977","-1","SIRT1 (-1) TP53","false","-1","SIRT1 (-1) TP53"
"978","1","ATM/ATR (1) TP53","false","1","ATM/ATR (1) TP53"
"980","1","ATM/ATR (1) E2F1","false","1","ATM/ATR (1) E2F1"
"981","-1","SOD2 (-1) ROS","false","-1","SOD2 (-1) ROS"
"982","1","AMPK (1) TSC2","false","1","AMPK (1) TSC2"
"983","1","AMPK (1) NAD+","false","1","AMPK (1) NAD+"
"984","-1","AMPK (-1) MTOR","false","-1","AMPK (-1) MTOR"
"985","-1","AMPK (-1) ULK1","false","-1","AMPK (-1) ULK1"
"986","1","AMPK (1) PPARGC1A","false","1","AMPK (1) PPARGC1A"
"987","1","AMPK (1) TP53","false","1","AMPK (1) TP53"
"988","1","AMPK (1) SLC2A4","false","1","AMPK (1) SLC2A4"
"989","1","AMPK (1) FOXO3","false","1","AMPK (1) FOXO3"
"990","1","NAD+ (1) SIRT1","false","1","NAD+ (1) SIRT1"
"991","1","IGF1R (1) IRS1","false","1","IGF1R (1) IRS1"
"992","1","IGF1R (1) KRAS","false","1","IGF1R (1) KRAS"
"993","1","E2F1 (1) PPARGC1A","false","1","E2F1 (1) PPARGC1A"
"994","1","E2F1 (1) HDAC1","false","1","E2F1 (1) HDAC1"
"995","-1","CDKN2A (-1) MDM2","false","-1","CDKN2A (-1) MDM2"
"996","-1","CDKN2A (-1) CDK4","false","-1","CDKN2A (-1) CDK4"
"997","1","DNAdamage (1) ATM/ATR","false","1","DNAdamage (1) ATM/ATR"
"998","1","DNAdamage (1) ROS","false","1","DNAdamage (1) ROS"
"1000","1","DNAdamage (1) MAP2K3/MAP2K6","false","1","DNAdamage (1) MAP2K3/MAP2K6"
"1001","1","ROS (1) MAP2K3/MAP2K6","false","1","ROS (1) MAP2K3/MAP2K6"
"1002","1","ROS (1) PRKCA","false","1","ROS (1) PRKCA"
"1003","1","ROS (1) DNAdamage","false","1","ROS (1) DNAdamage"
"1004","1","MAP2K3/MAP2K6 (1) MAPK14","false","1","MAP2K3/MAP2K6 (1) MAPK14"
"1005","1","NFKB1 (1) NFKBIE","false","1","NFKB1 (1) NFKBIE"
"1006","1","NFKB1 (1) IL1B","false","1","NFKB1 (1) IL1B"
