Time	TH	ErrorTH	H	HD=0	HD=1	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.0000	0.0003	0.0001	0.1446	0.0197	0.9803	<nil>	0.000025	0.000025	A -- B -- C	0.980266	0.001599	B -- C	0.019007	0.001549	C	0.000701	0.000200
0.0100	0.0018	0.0004	0.3445	0.0582	0.9418	A -- B -- C	0.941810	0.003116	B -- C	0.053740	0.002984	C	0.004133	0.000888	<nil>	0.000318	0.000229
0.0200	0.0017	0.0004	0.4833	0.0951	0.9049	A -- C	0.000081	0.000081	C	0.003846	0.000865	<nil>	0.000673	0.000354	B -- C	0.090548	0.003908	A -- B -- C	0.904852	0.004002
0.0300	0.0019	0.0004	0.5965	0.1304	0.8696	A -- C	0.000200	0.000200	C	0.004313	0.000853	<nil>	0.000934	0.000422	B -- C	0.125141	0.004541	A -- B -- C	0.869411	0.004643
0.0400	0.0052	0.0006	0.7230	0.1645	0.8355	A -- C	0.000200	0.000200	<nil>	0.001789	0.000567	C	0.011824	0.001420	B -- C	0.150882	0.004920	A -- B -- C	0.835305	0.005139
0.0500	0.0081	0.0008	0.8327	0.1972	0.8028	A -- C	0.000240	0.000204	<nil>	0.003460	0.000784	C	0.018500	0.001825	B -- C	0.175264	0.005254	A -- B -- C	0.802536	0.005535
0.0600	0.0101	0.0009	0.9253	0.2285	0.7715	A -- C	0.000417	0.000283	<nil>	0.005577	0.001019	C	0.023032	0.002056	B -- C	0.199927	0.005558	A -- B -- C	0.771047	0.005856
0.0700	0.0129	0.0010	1.0152	0.2582	0.7418	<nil>	0.007856	0.001215	A -- C	0.000912	0.000415	A -- B -- C	0.740863	0.006118	B -- C	0.221100	0.005750	C	0.029269	0.002274
0.0800	0.0160	0.0011	1.1008	0.2869	0.7131	<nil>	0.010925	0.001440	A -- C	0.001323	0.000488	A -- B -- C	0.711791	0.006332	B -- C	0.239559	0.005933	C	0.036403	0.002573
0.0900	0.0175	0.0012	1.1719	0.3144	0.6856	<nil>	0.014972	0.001678	A -- C	0.001743	0.000571	A -- B -- C	0.683848	0.006507	B -- C	0.259629	0.006108	C	0.039808	0.002698
0.1000	0.0185	0.0012	1.2321	0.3405	0.6595	<nil>	0.018390	0.001861	A -- C	0.002427	0.000682	A -- B -- C	0.657025	0.006648	B -- C	0.279995	0.006264	C	0.042164	0.002777
0.1100	0.0222	0.0013	1.3064	0.3657	0.6343	<nil>	0.023207	0.002092	A -- C	0.003010	0.000767	A -- B -- C	0.631300	0.006761	B -- C	0.291929	0.006309	C	0.050554	0.002965
0.1200	0.0269	0.0014	1.3815	0.3900	0.6100	<nil>	0.029007	0.002332	A -- C	0.003407	0.000819	A -- B -- C	0.606595	0.006851	B -- C	0.299675	0.006381	C	0.061316	0.003295
0.1300	0.0294	0.0015	1.4407	0.4133	0.5867	<nil>	0.035254	0.002562	A -- C	0.003932	0.000879	A -- B -- C	0.582747	0.006919	B -- C	0.311166	0.006464	C	0.066901	0.003448
0.1400	0.0301	0.0015	1.4905	0.4354	0.5646	<nil>	0.042470	0.002810	A -- C	0.004716	0.000951	A -- B -- C	0.559865	0.006967	B -- C	0.324359	0.006548	C	0.068590	0.003500
0.1500	0.0305	0.0015	1.5316	0.4564	0.5436	<nil>	0.048786	0.003015	A -- C	0.005574	0.001042	A -- B -- C	0.537987	0.007000	B -- C	0.338211	0.006605	C	0.069442	0.003506
0.1600	0.0364	0.0017	1.6003	0.4767	0.5233	<nil>	0.056542	0.003222	A -- C	0.006533	0.001129	A -- B -- C	0.516788	0.007019	B -- C	0.337361	0.006589	C	0.082776	0.003779
0.1700	0.0388	0.0017	1.6463	0.4961	0.5039	<nil>	0.064920	0.003441	A -- C	0.007030	0.001160	A -- B -- C	0.496822	0.007023	B -- C	0.342991	0.006634	C	0.088237	0.003919
0.1800	0.0392	0.0017	1.6796	0.5147	0.4853	<nil>	0.073992	0.003657	A -- C	0.007261	0.001196	A -- B -- C	0.478032	0.007019	B -- C	0.351602	0.006682	C	0.089113	0.003947
0.1900	0.0389	0.0017	1.7068	0.5332	0.4668	<nil>	0.083053	0.003865	A -- C	0.007494	0.001216	A -- B -- C	0.459346	0.007005	B -- C	0.361626	0.006731	C	0.088481	0.003947
0.2000	0.0379	0.0017	1.7295	0.5505	0.4495	<nil>	0.092373	0.004064	A -- C	0.007975	0.001250	A -- B -- C	0.441501	0.006981	B -- C	0.371862	0.006774	C	0.086289	0.003905
0.2100	0.0446	0.0018	1.7840	0.5672	0.4328	C	0.101440	0.004078	A -- C	0.008736	0.001296	<nil>	0.100888	0.004221	A -- B -- C	0.424077	0.006949	B -- C	0.364859	0.006671
0.2200	0.0493	0.0019	1.8321	0.5825	0.4175	<nil>	0.112752	0.004429	A -- C	0.009662	0.001373	A -- B -- C	0.407806	0.006911	B -- C	0.357541	0.006702	C	0.112238	0.004365
0.2300	0.0497	0.0019	1.8603	0.5972	0.4028	<nil>	0.123288	0.004608	A -- C	0.011099	0.001462	A -- B -- C	0.391713	0.006866	C	0.113123	0.004388	B -- C	0.360776	0.006726
0.2400	0.0487	0.0019	1.8801	0.6114	0.3886	<nil>	0.135425	0.004797	A -- C	0.012010	0.001532	A -- B -- C	0.376599	0.006816	C	0.110718	0.004355	B -- C	0.365248	0.006753
0.2500	0.0475	0.0019	1.8948	0.6253	0.3747	<nil>	0.146065	0.004964	A -- C	0.012942	0.001581	A -- B -- C	0.361782	0.006760	C	0.108039	0.004316	B -- C	0.371172	0.006781
0.2600	0.0458	0.0019	1.9050	0.6382	0.3618	<nil>	0.156032	0.005101	A -- C	0.014046	0.001658	A -- B -- C	0.347759	0.006701	C	0.104199	0.004257	B -- C	0.377964	0.006809
0.2700	0.0498	0.0019	1.9360	0.6513	0.3487	<nil>	0.167095	0.005242	A -- C	0.014690	0.001696	A -- B -- C	0.334010	0.006637	C	0.113393	0.004311	B -- C	0.370812	0.006709
0.2800	0.0561	0.0020	1.9739	0.6630	0.3370	<nil>	0.179247	0.005382	A -- C	0.015609	0.001738	A -- B -- C	0.321357	0.006573	C	0.127566	0.004595	B -- C	0.356222	0.006692
0.2900	0.0572	0.0021	1.9943	0.6737	0.3263	<nil>	0.191246	0.005522	A -- C	0.017279	0.001824	A -- B -- C	0.309011	0.006503	C	0.130201	0.004665	B -- C	0.352262	0.006694
0.3000	0.0555	0.0020	2.0017	0.6844	0.3156	B -- C	0.354555	0.006716	A -- C	0.018546	0.001895	<nil>	0.203533	0.005662	A -- B -- C	0.297099	0.006433	C	0.126267	0.004624
0.3100	0.0531	0.0020	2.0058	0.6942	0.3058	C	0.120742	0.004533	A -- C	0.020154	0.001978	<nil>	0.215449	0.005778	A -- B -- C	0.285669	0.006359	B -- C	0.357987	0.006734
0.3200	0.0505	0.0020	2.0059	0.7044	0.2956	C	0.114912	0.004443	A -- C	0.021432	0.002041	<nil>	0.227359	0.005898	A -- B -- C	0.274166	0.006280	B -- C	0.362131	0.006753
0.3300	0.0482	0.0019	2.0029	0.7143	0.2857	C	0.109565	0.004335	A -- C	0.022294	0.002085	<nil>	0.238774	0.005992	A -- B -- C	0.263406	0.006203	B -- C	0.365960	0.006768
0.3400	0.0522	0.0019	2.0238	0.7234	0.2766	C	0.118834	0.004419	A -- C	0.023252	0.002121	<nil>	0.250576	0.006097	A -- B -- C	0.253307	0.006124	B -- C	0.354032	0.006660
0.3500	0.0569	0.0020	2.0440	0.7324	0.2676	C	0.129527	0.004634	A -- C	0.024234	0.002166	<nil>	0.262771	0.006189	B -- C	0.340130	0.006631	A -- B -- C	0.243337	0.006041
0.3600	0.0572	0.0020	2.0482	0.7410	0.2590	<nil>	0.276689	0.006292	A -- C	0.025242	0.002213	B -- C	0.334250	0.006613	C	0.130058	0.004662	A -- B -- C	0.233761	0.005959
0.3700	0.0566	0.0020	2.0483	0.7488	0.2512	B -- C	0.330460	0.006600	A -- C	0.026177	0.002246	<nil>	0.289513	0.006387	C	0.128850	0.004653	A -- B -- C	0.224999	0.005881
0.3800	0.0557	0.0020	2.0467	0.7562	0.2438	B -- C	0.327812	0.006590	A -- C	0.027330	0.002292	<nil>	0.301596	0.006453	C	0.126819	0.004612	A -- B -- C	0.216444	0.005797
0.3900	0.0541	0.0020	2.0401	0.7636	0.2364	B -- C	0.326285	0.006585	A -- C	0.028100	0.002328	<nil>	0.314292	0.006537	C	0.122999	0.004564	A -- B -- C	0.208324	0.005720
0.4000	0.0520	0.0020	2.0310	0.7708	0.2292	B -- C	0.325660	0.006588	A -- C	0.028883	0.002363	<nil>	0.326854	0.006603	C	0.118254	0.004495	A -- B -- C	0.200350	0.005636
0.4100	0.0492	0.0019	2.0192	0.7770	0.2230	B -- C	0.325863	0.006590	A -- C	0.029813	0.002393	<nil>	0.339172	0.006667	C	0.111930	0.004379	A -- B -- C	0.193221	0.005561
0.4200	0.0520	0.0019	2.0235	0.7835	0.2165	B -- C	0.314124	0.006477	A -- C	0.030231	0.002415	<nil>	0.351035	0.006721	C	0.118350	0.004429	A -- B -- C	0.186260	0.005483
0.4300	0.0557	0.0020	2.0280	0.7906	0.2094	B -- C	0.300901	0.006429	A -- C	0.030730	0.002437	<nil>	0.362977	0.006776	C	0.126680	0.004609	A -- B -- C	0.178712	0.005396
0.4400	0.0561	0.0020	2.0237	0.7965	0.2035	B -- C	0.293866	0.006395	A -- C	0.031811	0.002468	<nil>	0.374961	0.006815	C	0.127694	0.004624	A -- B -- C	0.171669	0.005311
0.4500	0.0553	0.0020	2.0168	0.8014	0.1986	C	0.125724	0.004608	A -- C	0.033404	0.002532	<nil>	0.386479	0.006861	A -- B -- C	0.165220	0.005231	B -- C	0.289173	0.006372
0.4600	0.0534	0.0020	2.0031	0.8065	0.1935	C	0.121548	0.004530	A -- C	0.034099	0.002557	<nil>	0.399569	0.006892	A -- B -- C	0.159370	0.005156	B -- C	0.285414	0.006348
0.4700	0.0511	0.0020	1.9856	0.8120	0.1880	C	0.116181	0.004457	A -- C	0.034464	0.002573	<nil>	0.412928	0.006936	A -- B -- C	0.153557	0.005078	B -- C	0.282869	0.006335
0.4800	0.0486	0.0019	1.9701	0.8163	0.1837	C	0.110625	0.004368	A -- C	0.035580	0.002610	<nil>	0.424538	0.006966	A -- B -- C	0.148153	0.005004	B -- C	0.281104	0.006323
0.4900	0.0469	0.0019	1.9550	0.8215	0.1785	C	0.106820	0.004300	A -- C	0.036120	0.002631	<nil>	0.434486	0.006987	A -- B -- C	0.142420	0.004921	B -- C	0.280155	0.006317
0.5000	0.0450	0.0019	1.9396	0.8257	0.1743	C	0.102482	0.004225	A -- C	0.036789	0.002650	<nil>	0.444180	0.007004	A -- B -- C	0.137503	0.004849	B -- C	0.279046	0.006314
0.5100	0.0442	0.0018	1.9248	0.8301	0.1699	B -- C	0.273982	0.006246	A -- C	0.037041	0.002662	<nil>	0.455564	0.007021	A -- B -- C	0.132816	0.004782	C	0.100597	0.004142
0.5200	0.0485	0.0019	1.9288	0.8336	0.1664	C	0.110454	0.004323	A -- C	0.037799	0.002677	<nil>	0.464343	0.007033	A -- B -- C	0.128576	0.004714	B -- C	0.258828	0.006131
0.5300	0.0493	0.0019	1.9180	0.8378	0.1622	A -- B -- C	0.123404	0.004632	A -- C	0.038829	0.002728	<nil>	0.476008	0.007037	B -- C	0.249622	0.006072	C	0.112137	0.004373
0.5400	0.0492	0.0019	1.9025	0.8423	0.1577	A -- B -- C	0.118643	0.004554	A -- C	0.039099	0.002733	<nil>	0.487452	0.007042	B -- C	0.242966	0.006022	C	0.111840	0.004371
0.5500	0.0485	0.0019	1.8876	0.8456	0.1544	A -- B -- C	0.114598	0.004486	A -- C	0.039801	0.002753	<nil>	0.497820	0.007049	B -- C	0.237450	0.005979	C	0.110331	0.004356
0.5600	0.0473	0.0019	1.8706	0.8490	0.1510	A -- B -- C	0.110416	0.004417	A -- C	0.040591	0.002785	<nil>	0.508488	0.007044	B -- C	0.232800	0.005941	C	0.107705	0.004303
0.5700	0.0461	0.0019	1.8546	0.8519	0.1481	A -- B -- C	0.106440	0.004345	A -- C	0.041671	0.002818	<nil>	0.518138	0.007046	B -- C	0.228873	0.005909	C	0.104878	0.004267
0.5800	0.0442	0.0018	1.8337	0.8551	0.1449	A -- B -- C	0.102608	0.004274	A -- C	0.042247	0.002835	<nil>	0.528927	0.007032	B -- C	0.225731	0.005880	C	0.100487	0.004172
0.5900	0.0422	0.0018	1.8143	0.8579	0.1421	C	0.096060	0.004092	A -- B -- C	0.098716	0.004203	<nil>	0.538838	0.007027	A -- C	0.043387	0.002869	B -- C	0.222999	0.005856
0.6000	0.0401	0.0018	1.7933	0.8607	0.1393	A -- B -- C	0.095179	0.004133	C	0.091302	0.004011	<nil>	0.548637	0.007017	A -- C	0.044151	0.002896	B -- C	0.220731	0.005837
0.6100	0.0384	0.0017	1.7727	0.8637	0.1363	C	0.087371	0.003940	A -- B -- C	0.091940	0.004071	<nil>	0.557675	0.007006	A -- C	0.044393	0.002905	B -- C	0.218621	0.005822
0.6200	0.0363	0.0017	1.7514	0.8665	0.1335	C	0.082621	0.003825	A -- B -- C	0.088430	0.003999	<nil>	0.566330	0.006985	A -- C	0.045030	0.002929	B -- C	0.217589	0.005809
0.6300	0.0373	0.0017	1.7389	0.8697	0.1303	B -- C	0.210540	0.005713	A -- B -- C	0.085648	0.003940	<nil>	0.574213	0.006972	A -- C	0.044645	0.002913	C	0.084954	0.003845
0.6400	0.0395	0.0017	1.7283	0.8721	0.1279	B -- C	0.198953	0.005601	A -- B -- C	0.082961	0.003885	<nil>	0.583375	0.006957	A -- C	0.044891	0.002918	C	0.089820	0.003961
0.6500	0.0399	0.0017	1.7138	0.8739	0.1261	B -- C	0.191072	0.005521	A -- B -- C	0.080440	0.003830	<nil>	0.592107	0.006925	A -- C	0.045634	0.002941	C	0.090746	0.003974
0.6600	0.0396	0.0018	1.6959	0.8763	0.1237	B -- C	0.185302	0.005463	A -- B -- C	0.077730	0.003771	<nil>	0.600840	0.006909	A -- C	0.045928	0.002953	C	0.090200	0.003990
0.6700	0.0386	0.0017	1.6769	0.8781	0.1219	B -- C	0.180731	0.005411	A -- B -- C	0.074832	0.003708	<nil>	0.609582	0.006880	A -- C	0.047107	0.002987	C	0.087748	0.003932
0.6800	0.0372	0.0017	1.6561	0.8798	0.1202	B -- C	0.176685	0.005365	A -- B -- C	0.072288	0.003648	<nil>	0.618500	0.006848	A -- C	0.047958	0.003014	C	0.084569	0.003864
0.6900	0.0361	0.0017	1.6361	0.8820	0.1180	B -- C	0.173519	0.005330	A -- B -- C	0.069958	0.003594	<nil>	0.626387	0.006823	A -- C	0.048011	0.003015	C	0.082125	0.003821
0.7000	0.0351	0.0017	1.6168	0.8841	0.1159	B -- C	0.170368	0.005292	A -- B -- C	0.067691	0.003542	<nil>	0.633916	0.006796	A -- C	0.048178	0.003025	C	0.079848	0.003776
0.7100	0.0335	0.0016	1.5945	0.8862	0.1138	A -- B -- C	0.064891	0.003471	C	0.076310	0.003688	<nil>	0.642230	0.006758	A -- C	0.048922	0.003047	B -- C	0.167647	0.005257
0.7200	0.0322	0.0016	1.5729	0.8882	0.1118	A -- B -- C	0.062520	0.003409	C	0.073201	0.003631	<nil>	0.650088	0.006730	A -- C	0.049308	0.003060	B -- C	0.164884	0.005223
0.7300	0.0312	0.0016	1.5521	0.8908	0.1092	C	0.070909	0.003574	A -- B -- C	0.060710	0.003359	<nil>	0.657149	0.006695	A -- C	0.048477	0.003030	B -- C	0.162755	0.005197
0.7400	0.0297	0.0015	1.5322	0.8922	0.1078	C	0.067583	0.003504	A -- B -- C	0.059061	0.003320	<nil>	0.664018	0.006668	A -- C	0.048752	0.003036	B -- C	0.160586	0.005173
0.7500	0.0282	0.0015	1.5136	0.8931	0.1069	C	0.064169	0.003409	A -- B -- C	0.057514	0.003281	<nil>	0.670373	0.006631	A -- C	0.049416	0.003053	B -- C	0.158527	0.005146
0.7600	0.0267	0.0015	1.4940	0.8942	0.1058	C	0.060715	0.003333	A -- B -- C	0.055937	0.003238	<nil>	0.676774	0.006602	A -- C	0.049848	0.003075	B -- C	0.156726	0.005123
0.7700	0.0257	0.0014	1.4765	0.8957	0.1043	C	0.058477	0.003273	A -- B -- C	0.054737	0.003205	<nil>	0.682461	0.006573	A -- C	0.049538	0.003064	B -- C	0.154788	0.005096
0.7800	0.0254	0.0014	1.4606	0.8971	0.1029	C	0.057767	0.003224	A -- B -- C	0.053146	0.003162	<nil>	0.688427	0.006532	A -- C	0.049778	0.003071	B -- C	0.150882	0.005032
0.7900	0.0270	0.0015	1.4494	0.8984	0.1016	C	0.061509	0.003310	A -- B -- C	0.051977	0.003126	<nil>	0.694710	0.006498	A -- C	0.049637	0.003067	B -- C	0.142167	0.004892
0.8000	0.0285	0.0015	1.4381	0.9001	0.0999	C	0.064822	0.003415	A -- B -- C	0.050349	0.003079	<nil>	0.700115	0.006462	A -- C	0.049552	0.003065	B -- C	0.135161	0.004804
0.8100	0.0278	0.0015	1.4161	0.9016	0.0984	C	0.063305	0.003373	A -- B -- C	0.048757	0.003034	<nil>	0.707725	0.006412	A -- C	0.049667	0.003065	B -- C	0.130547	0.004735
0.8200	0.0276	0.0015	1.3982	0.9029	0.0971	B -- C	0.126041	0.004666	A -- B -- C	0.047475	0.002995	<nil>	0.714039	0.006376	A -- C	0.049657	0.003063	C	0.062789	0.003369
0.8300	0.0265	0.0015	1.3777	0.9035	0.0965	B -- C	0.122261	0.004611	A -- B -- C	0.046440	0.002964	<nil>	0.720814	0.006329	A -- C	0.050088	0.003080	C	0.060398	0.003317
0.8400	0.0262	0.0014	1.3607	0.9049	0.0951	B -- C	0.119083	0.004553	A -- B -- C	0.045038	0.002919	<nil>	0.726296	0.006293	A -- C	0.050033	0.003076	C	0.059550	0.003289
0.8500	0.0257	0.0014	1.3430	0.9061	0.0939	B -- C	0.115545	0.004500	A -- B -- C	0.043890	0.002887	<nil>	0.732013	0.006247	A -- C	0.049990	0.003078	C	0.058561	0.003265
0.8600	0.0249	0.0014	1.3243	0.9072	0.0928	B -- C	0.112815	0.004455	A -- B -- C	0.043177	0.002863	<nil>	0.737732	0.006203	A -- C	0.049626	0.003064	C	0.056650	0.003211
0.8700	0.0237	0.0014	1.3032	0.9084	0.0916	B -- C	0.110595	0.004411	A -- B -- C	0.041878	0.002817	<nil>	0.743841	0.006162	A -- C	0.049677	0.003071	C	0.054009	0.003155
0.8800	0.0236	0.0014	1.2897	0.9096	0.0904	B -- C	0.107920	0.004365	A -- B -- C	0.040448	0.002771	<nil>	0.747972	0.006125	A -- C	0.049933	0.003071	C	0.053727	0.003132
0.8900	0.0229	0.0014	1.2734	0.9107	0.0893	B -- C	0.106066	0.004332	A -- B -- C	0.039296	0.002734	<nil>	0.752614	0.006091	A -- C	0.049970	0.003078	C	0.052054	0.003097
0.9000	0.0219	0.0013	1.2537	0.9118	0.0882	B -- C	0.103840	0.004295	A -- B -- C	0.038244	0.002700	<nil>	0.758161	0.006041	A -- C	0.049916	0.003075	C	0.049839	0.003025
0.9100	0.0209	0.0013	1.2349	0.9130	0.0870	B -- C	0.102135	0.004266	A -- B -- C	0.037539	0.002675	<nil>	0.763315	0.005996	A -- C	0.049448	0.003063	C	0.047563	0.002965
0.9200	0.0205	0.0013	1.2208	0.9144	0.0856	C	0.046640	0.002939	B -- C	0.100609	0.004231	<nil>	0.767161	0.005969	A -- C	0.049002	0.003050	A -- B -- C	0.036588	0.002642
0.9300	0.0206	0.0013	1.2082	0.9158	0.0842	C	0.046825	0.002943	A -- C	0.048179	0.003021	<nil>	0.770907	0.005930	A -- B -- C	0.036000	0.002620	B -- C	0.098089	0.004190
0.9400	0.0191	0.0013	1.1886	0.9165	0.0835	C	0.043371	0.002845	A -- C	0.047973	0.003019	<nil>	0.775895	0.005884	A -- B -- C	0.035563	0.002613	B -- C	0.097198	0.004179
0.9500	0.0174	0.0012	1.1657	0.9174	0.0826	C	0.039668	0.002696	A -- C	0.047778	0.003013	<nil>	0.781580	0.005820	A -- B -- C	0.034830	0.002579	B -- C	0.096144	0.004153
0.9600	0.0159	0.0011	1.1415	0.9189	0.0811	C	0.036183	0.002597	A -- C	0.047746	0.003015	<nil>	0.787298	0.005775	A -- B -- C	0.033346	0.002526	B -- C	0.095427	0.004137
0.9700	0.0156	0.0011	1.1287	0.9196	0.0804	C	0.035394	0.002574	A -- C	0.047930	0.003016	<nil>	0.790711	0.005745	A -- B -- C	0.032439	0.002495	B -- C	0.093526	0.004100
0.9800	0.0145	0.0011	1.1117	0.9205	0.0795	C	0.032977	0.002489	A -- C	0.047910	0.003013	<nil>	0.794643	0.005704	A -- B -- C	0.031541	0.002457	B -- C	0.092929	0.004095
0.9900	0.0140	0.0011	1.1005	0.9216	0.0784	C	0.031954	0.002454	A -- C	0.047744	0.003014	<nil>	0.797243	0.005679	A -- B -- C	0.030653	0.002429	B -- C	0.092407	0.004082
1.0000	0.0144	0.0011	1.0912	0.9227	0.0773	C	0.032725	0.002469	A -- C	0.047626	0.003008	<nil>	0.800063	0.005650	A -- B -- C	0.029696	0.002389	B -- C	0.089890	0.004020
1.0100	0.0155	0.0011	1.0855	0.9231	0.0769	C	0.035198	0.002546	A -- C	0.047870	0.003016	<nil>	0.802642	0.005619	A -- B -- C	0.029018	0.002366	B -- C	0.085271	0.003923
1.0200	0.0161	0.0011	1.0748	0.9236	0.0764	C	0.036537	0.002588	A -- C	0.047963	0.003020	<nil>	0.806145	0.005577	A -- B -- C	0.028452	0.002345	B -- C	0.080903	0.003830
1.0300	0.0164	0.0012	1.0606	0.9243	0.0757	C	0.037228	0.002628	A -- C	0.048088	0.003024	<nil>	0.810296	0.005537	A -- B -- C	0.027653	0.002308	B -- C	0.076736	0.003734
1.0400	0.0171	0.0012	1.0510	0.9251	0.0749	C	0.039001	0.002681	A -- C	0.047881	0.003010	<nil>	0.813273	0.005499	A -- B -- C	0.027029	0.002277	B -- C	0.072816	0.003648
1.0500	0.0169	0.0012	1.0353	0.9256	0.0744	C	0.038551	0.002677	A -- C	0.047860	0.003017	<nil>	0.817425	0.005453	A -- B -- C	0.026576	0.002269	B -- C	0.069588	0.003579
1.0600	0.0169	0.0012	1.0220	0.9264	0.0736	B -- C	0.067309	0.003525	C	0.038379	0.002685	<nil>	0.820753	0.005415	A -- C	0.047949	0.003021	A -- B -- C	0.025609	0.002225
1.0700	0.0169	0.0012	1.0085	0.9272	0.0728	B -- C	0.064475	0.003452	C	0.038519	0.002672	<nil>	0.824236	0.005371	A -- C	0.047780	0.003009	A -- B -- C	0.024989	0.002194
1.0800	0.0161	0.0012	0.9933	0.9272	0.0728	B -- C	0.062369	0.003409	C	0.036731	0.002620	<nil>	0.828065	0.005325	A -- C	0.047519	0.003000	A -- B -- C	0.025317	0.002211
1.0900	0.0152	0.0011	0.9779	0.9272	0.0728	B -- C	0.060805	0.003369	C	0.034648	0.002547	<nil>	0.831703	0.005278	A -- C	0.047576	0.003006	A -- B -- C	0.025267	0.002211
1.1000	0.0144	0.0011	0.9628	0.9275	0.0725	B -- C	0.059377	0.003328	C	0.032869	0.002479	<nil>	0.835237	0.005234	A -- C	0.047372	0.003002	A -- B -- C	0.025146	0.002206
1.1100	0.0136	0.0011	0.9461	0.9282	0.0718	B -- C	0.058250	0.003295	C	0.031029	0.002415	<nil>	0.838955	0.005189	A -- C	0.047308	0.002995	A -- B -- C	0.024457	0.002172
1.1200	0.0130	0.0010	0.9300	0.9289	0.0711	B -- C	0.056912	0.003256	C	0.029532	0.002349	<nil>	0.842495	0.005140	A -- C	0.047392	0.003005	A -- B -- C	0.023669	0.002140
1.1300	0.0128	0.0010	0.9183	0.9298	0.0702	B -- C	0.055552	0.003227	C	0.029117	0.002346	<nil>	0.845137	0.005109	A -- C	0.047286	0.002997	A -- B -- C	0.022908	0.002106
1.1400	0.0125	0.0010	0.9078	0.9299	0.0701	B -- C	0.053872	0.003179	C	0.028377	0.002312	<nil>	0.847651	0.005074	A -- C	0.047121	0.002990	A -- B -- C	0.022979	0.002109
1.1500	0.0121	0.0010	0.8939	0.9306	0.0694	B -- C	0.052388	0.003138	C	0.027432	0.002279	<nil>	0.850769	0.005031	A -- C	0.046851	0.002988	A -- B -- C	0.022561	0.002094
1.1600	0.0113	0.0010	0.8791	0.9312	0.0688	B -- C	0.051738	0.003125	C	0.025646	0.002202	<nil>	0.853800	0.004985	A -- C	0.046940	0.002989	A -- B -- C	0.021877	0.002061
1.1700	0.0104	0.0009	0.8642	0.9320	0.0680	B -- C	0.051535	0.003116	C	0.023669	0.002115	<nil>	0.856763	0.004944	A -- C	0.046709	0.002982	A -- B -- C	0.021323	0.002035
1.1800	0.0098	0.0009	0.8490	0.9325	0.0675	B -- C	0.050325	0.003070	C	0.022313	0.002047	<nil>	0.859866	0.004901	A -- C	0.047000	0.002993	A -- B -- C	0.020496	0.001992
1.1900	0.0101	0.0009	0.8417	0.9333	0.0667	B -- C	0.048827	0.003033	C	0.022911	0.002097	<nil>	0.861590	0.004881	A -- C	0.046815	0.002987	A -- B -- C	0.019858	0.001967
1.2000	0.0101	0.0009	0.8353	0.9341	0.0659	B -- C	0.048143	0.003019	C	0.023027	0.002095	<nil>	0.862948	0.004856	A -- C	0.046761	0.002984	A -- B -- C	0.019120	0.001932
1.2100	0.0096	0.0009	0.8246	0.9344	0.0656	B -- C	0.047294	0.002989	C	0.021948	0.002035	<nil>	0.865115	0.004823	A -- C	0.046829	0.002986	A -- B -- C	0.018813	0.001915
1.2200	0.0095	0.0009	0.8172	0.9344	0.0656	B -- C	0.045817	0.002950	C	0.021646	0.002037	<nil>	0.866979	0.004798	A -- C	0.046163	0.002964	A -- B -- C	0.019395	0.001942
1.2300	0.0095	0.0009	0.8104	0.9351	0.0649	B -- C	0.044981	0.002914	C	0.021650	0.002027	<nil>	0.868489	0.004773	A -- C	0.045751	0.002951	A -- B -- C	0.019129	0.001922
